champion,relation_type,rank,related_champion,estimated_winrate_vs_champion,estimated_delta,matchup_reason,source_type
Pyke,favored_against,2,Thresh,53.31,6.14,puede abusar la fase temprana,heuristic_extended
Pyke,favored_against,3,Rell,56.96,4.84,su kit responde bien al patrón rival,heuristic_extended
Qiyana,countered_by,1,Brand,46.23,-3.18,supera la fase de línea,heuristic_extended
Qiyana,countered_by,2,Zed,43.99,-4.33,escala mejor y fuerza peleas favorables,heuristic_extended
Qiyana,countered_by,3,Sylas,44.57,-3.42,niega el plan principal del campeón,heuristic_extended
Qiyana,favored_against,1,VelKoz,52.97,3.6,puede abusar la fase temprana,heuristic_extended
Qiyana,favored_against,2,Vex,57.2,5.85,tiene mejor escalado en la composición,heuristic_extended
Qiyana,favored_against,3,Kassadin,56.99,6.79,tiene mejor escalado en la composición,heuristic_extended
Quinn,countered_by,1,KSante,44.98,-3.81,castiga engages o dashes,heuristic_extended
Quinn,countered_by,2,Malphite,46.35,-5.85,niega el plan principal del campeón,heuristic_extended
Quinn,countered_by,3,Gangplank,43.51,-6.73,supera la fase de línea,heuristic_extended
Quinn,favored_against,1,Garen,54.14,4.01,puede abusar la fase temprana,heuristic_extended
Quinn,favored_against,2,ChoGath,54.16,5.14,gana prioridad para objetivos,heuristic_extended
Quinn,favored_against,3,Nasus,52.9,4.68,su kit responde bien al patrón rival,heuristic_extended
Rakan,countered_by,1,Poppy,45.56,-4.35,tiene mejor rango y control de oleada,curated_core
Rakan,countered_by,2,Janna,46.26,-7.37,castiga engages o dashes,curated_core
Rakan,countered_by,3,Morgana,46.47,-3.75,niega el plan principal del campeón,curated_core
Rakan,favored_against,1,Sona,54.17,2.59,controla mejor los intercambios,curated_core
Rakan,favored_against,2,Yuumi,56.13,6.69,gana prioridad para objetivos,curated_core
Rakan,favored_against,3,Seraphine,55.27,6.19,gana prioridad para objetivos,curated_core
Rammus,countered_by,1,Udyr,44.3,-2.6,tiene mejor rango y control de oleada,heuristic_extended
Rammus,countered_by,2,Graves,48.07,-6.16,escala mejor y fuerza peleas favorables,heuristic_extended
Rammus,countered_by,3,RekSai,45.89,-6.03,tiene mejor rango y control de oleada,heuristic_extended
Rammus,favored_against,1,MasterYi,52.28,6.41,puede abusar la fase temprana,heuristic_extended
Rammus,favored_against,2,Briar,51.85,3.6,tiene mejor escalado en la composición,heuristic_extended
Rammus,favored_against,3,Ivern,57.17,2.81,su kit responde bien al patrón rival,heuristic_extended
RekSai,countered_by,1,Elise,46.92,-4.75,escala mejor y fuerza peleas favorables,heuristic_extended
RekSai,countered_by,2,Shyvana,44.39,-4.69,supera la fase de línea,heuristic_extended
RekSai,countered_by,3,Maokai,48.36,-4.19,tiene mejor rango y control de oleada,heuristic_extended
RekSai,favored_against,1,Gragas,57.34,2.95,tiene mejor escalado en la composición,heuristic_extended
RekSai,favored_against,2,Ivern,51.77,2.31,tiene mejor escalado en la composición,heuristic_extended
RekSai,favored_against,3,Rammus,54.85,5.22,puede abusar la fase temprana,heuristic_extended
Rell,countered_by,1,Yuumi,46.34,-2.55,escala mejor y fuerza peleas favorables,heuristic_extended
Rell,countered_by,2,Morgana,45.02,-4.39,supera la fase de línea,heuristic_extended
Rell,countered_by,3,Soraka,46.62,-6.64,tiene mejor rango y control de oleada,heuristic_extended
Rell,favored_against,1,Karma,56.77,6.17,controla mejor los intercambios,heuristic_extended
Rell,favored_against,2,Swain,54.49,5.21,puede abusar la fase temprana,heuristic_extended
Rell,favored_against,3,Rakan,53.55,4.44,su kit responde bien al patrón rival,heuristic_extended
RenataGlasc,countered_by,1,Braum,45.77,-7.51,castiga engages o dashes,heuristic_extended
RenataGlasc,countered_by,2,Leona,43.21,-3.65,castiga engages o dashes,heuristic_extended
RenataGlasc,countered_by,3,Milio,48.67,-5.56,supera la fase de línea,heuristic_extended
RenataGlasc,favored_against,1,Rell,55.56,6.15,su kit responde bien al patrón rival,heuristic_extended
RenataGlasc,favored_against,2,Lulu,56.27,5.4,su kit responde bien al patrón rival,heuristic_extended
RenataGlasc,favored_against,3,Sona,55.0,6.6,tiene mejor escalado en la composición,heuristic_extended
Renekton,countered_by,1,Quinn,46.36,-2.94,niega el plan principal del campeón,curated_core
Renekton,countered_by,2,Vayne,43.73,-6.99,escala mejor y fuerza peleas favorables,curated_core
Renekton,countered_by,3,Malphite,43.57,-5.69,supera la fase de línea,curated_core
Renekton,favored_against,1,Yasuo,56.15,5.14,puede abusar la fase temprana,curated_core
Renekton,favored_against,2,Yone,56.73,5.03,puede abusar la fase temprana,curated_core
Renekton,favored_against,3,Riven,53.42,3.28,tiene mejor escalado en la composición,curated_core
Rengar,countered_by,1,Hecarim,46.59,-5.69,escala mejor y fuerza peleas favorables,heuristic_extended
Rengar,countered_by,2,Poppy,44.34,-4.92,tiene mejor rango y control de oleada,heuristic_extended
Rengar,countered_by,3,Rammus,45.33,-6.88,supera la fase de línea,heuristic_extended
Rengar,favored_against,1,Diana,53.32,5.34,gana prioridad para objetivos,heuristic_extended
Rengar,favored_against,2,LeeSin,53.47,4.97,controla mejor los intercambios,heuristic_extended
Rengar,favored_against,3,Skarner,56.68,6.1,gana prioridad para objetivos,heuristic_extended
Riven,countered_by,1,Vladimir,46.34,-6.6,niega el plan principal del campeón,heuristic_extended
Riven,countered_by,2,Camille,44.16,-5.8,escala mejor y fuerza peleas favorables,heuristic_extended
Riven,countered_by,3,DrMundo,47.49,-3.61,castiga engages o dashes,heuristic_extended
Riven,favored_against,1,Olaf,52.33,3.27,tiene mejor escalado en la composición,heuristic_extended
Riven,favored_against,2,Sion,53.39,6.33,controla mejor los intercambios,heuristic_extended
Riven,favored_against,3,Aatrox,55.21,4.74,tiene mejor escalado en la composición,heuristic_extended
Rumble,countered_by,1,Shen,43.8,-4.58,castiga engages o dashes,heuristic_extended
Rumble,countered_by,2,Jax,43.27,-5.17,tiene mejor rango y control de oleada,heuristic_extended
Rumble,countered_by,3,Vayne,43.83,-7.48,escala mejor y fuerza peleas favorables,heuristic_extended
Rumble,favored_against,1,Ornn,54.46,3.52,gana prioridad para objetivos,heuristic_extended
Rumble,favored_against,2,Olaf,56.3,7.31,puede abusar la fase temprana,heuristic_extended
Rumble,favored_against,3,Lucian,54.56,3.88,controla mejor los intercambios,heuristic_extended
Ryze,countered_by,1,Fizz,43.83,-4.9,supera la fase de línea,heuristic_extended
Ryze,countered_by,2,AurelionSol,45.35,-5.53,escala mejor y fuerza peleas favorables,heuristic_extended
Ryze,countered_by,3,Tristana,46.56,-5.97,castiga engages o dashes,heuristic_extended
Ryze,favored_against,1,Yasuo,53.31,6.89,gana prioridad para objetivos,heuristic_extended
Ryze,favored_against,2,Galio,57.52,3.36,gana prioridad para objetivos,heuristic_extended
Ryze,favored_against,3,Annie,57.23,7.11,su kit responde bien al patrón rival,heuristic_extended
Samira,countered_by,1,Senna,47.28,-4.3,tiene mejor rango y control de oleada,heuristic_extended
Samira,countered_by,2,Smolder,45.73,-4.65,tiene mejor rango y control de oleada,heuristic_extended
Samira,countered_by,3,MissFortune,43.98,-7.35,castiga engages o dashes,heuristic_extended
Samira,favored_against,1,Jinx,57.1,3.38,tiene mejor escalado en la composición,heuristic_extended
Samira,favored_against,2,Xayah,55.87,6.82,controla mejor los intercambios,heuristic_extended
Samira,favored_against,3,Zeri,54.06,6.74,gana prioridad para objetivos,heuristic_extended
Sejuani,countered_by,1,Poppy,46.68,-4.0,supera la fase de línea,heuristic_extended
Sejuani,countered_by,2,Rengar,43.65,-3.9,tiene mejor rango y control de oleada,heuristic_extended
Sejuani,countered_by,3,Diana,43.22,-3.87,niega el plan principal del campeón,heuristic_extended
Sejuani,favored_against,1,Warwick,53.83,4.91,gana prioridad para objetivos,heuristic_extended
Sejuani,favored_against,2,Hecarim,56.65,4.42,gana prioridad para objetivos,heuristic_extended
Sejuani,favored_against,3,RekSai,54.85,2.22,puede abusar la fase temprana,heuristic_extended
Senna,countered_by,1,Ezreal,47.7,-6.53,castiga engages o dashes,heuristic_extended
Senna,countered_by,2,Jinx,48.31,-6.64,escala mejor y fuerza peleas favorables,heuristic_extended
Senna,countered_by,3,Caitlyn,44.17,-2.85,escala mejor y fuerza peleas favorables,heuristic_extended
Senna,favored_against,1,Nilah,53.58,3.22,gana prioridad para objetivos,heuristic_extended
Senna,favored_against,2,Aphelios,54.27,7.57,su kit responde bien al patrón rival,heuristic_extended
Senna,favored_against,3,LeeSin,52.81,4.36,controla mejor los intercambios,heuristic_extended
Seraphine,countered_by,1,Yuumi,43.97,-7.72,escala mejor y fuerza peleas favorables,heuristic_extended
Seraphine,countered_by,2,Blitzcrank,47.21,-3.6,escala mejor y fuerza peleas favorables,heuristic_extended
Seraphine,countered_by,3,Neeko,45.59,-2.68,niega el plan principal del campeón,heuristic_extended
Seraphine,favored_against,1,Soraka,51.33,4.05,puede abusar la fase temprana,heuristic_extended
Seraphine,favored_against,2,Thresh,52.29,2.82,tiene mejor escalado en la composición,heuristic_extended
Seraphine,favored_against,3,Brand,57.77,2.37,tiene mejor escalado en la composición,heuristic_extended
Sett,countered_by,1,Jax,47.11,-6.72,escala mejor y fuerza peleas favorables,heuristic_extended
Sett,countered_by,2,Gwen,46.57,-5.49,tiene mejor rango y control de oleada,heuristic_extended
Sett,countered_by,3,Vladimir,46.23,-4.15,escala mejor y fuerza peleas favorables,heuristic_extended
Sett,favored_against,1,Gnar,56.84,4.13,controla mejor los intercambios,heuristic_extended
Sett,favored_against,2,Shen,54.49,4.05,tiene mejor escalado en la composición,heuristic_extended
Sett,favored_against,3,Taric,54.52,5.84,gana prioridad para objetivos,heuristic_extended
Shaco,countered_by,1,Nunu,45.89,-7.67,supera la fase de línea,heuristic_extended
Shaco,countered_by,2,Amumu,43.78,-3.3,castiga engages o dashes,heuristic_extended
Shaco,countered_by,3,KhaZix,44.06,-5.65,escala mejor y fuerza peleas favorables,heuristic_extended
Shaco,favored_against,1,Evelynn,56.38,3.44,su kit responde bien al patrón rival,heuristic_extended
Shaco,favored_against,2,Rammus,57.75,2.61,controla mejor los intercambios,heuristic_extended
Shaco,favored_against,3,Akali,57.33,7.51,su kit responde bien al patrón rival,heuristic_extended
Shen,countered_by,1,Jax,48.3,-7.12,castiga engages o dashes,heuristic_extended
Shen,countered_by,2,Gwen,44.69,-6.27,escala mejor y fuerza peleas favorables,heuristic_extended
Shen,countered_by,3,Olaf,45.11,-2.58,niega el plan principal del campeón,heuristic_extended
Shen,favored_against,1,Urgot,56.04,2.51,su kit responde bien al patrón rival,heuristic_extended
Shen,favored_against,2,Malphite,55.55,5.42,controla mejor los intercambios,heuristic_extended
Shen,favored_against,3,Vex,57.63,3.37,su kit responde bien al patrón rival,heuristic_extended
Shyvana,countered_by,1,Zac,47.36,-4.77,niega el plan principal del campeón,heuristic_extended
Shyvana,countered_by,2,Shaco,47.09,-5.88,escala mejor y fuerza peleas favorables,heuristic_extended
Shyvana,countered_by,3,Wukong,46.82,-6.17,escala mejor y fuerza peleas favorables,heuristic_extended
Shyvana,favored_against,1,XinZhao,55.63,2.38,controla mejor los intercambios,heuristic_extended
Shyvana,favored_against,2,Maokai,55.67,6.14,puede abusar la fase temprana,heuristic_extended
Shyvana,favored_against,3,Talon,55.59,6.01,puede abusar la fase temprana,heuristic_extended
Singed,countered_by,1,KSante,47.25,-3.9,supera la fase de línea,heuristic_extended
Singed,countered_by,2,Yasuo,48.22,-4.54,supera la fase de línea,heuristic_extended
Singed,countered_by,3,ChoGath,46.58,-4.26,escala mejor y fuerza peleas favorables,heuristic_extended
Singed,favored_against,1,Ornn,55.7,4.34,tiene mejor escalado en la composición,heuristic_extended
Singed,favored_against,2,Nasus,53.06,5.11,puede abusar la fase temprana,heuristic_extended
Singed,favored_against,3,Olaf,57.16,6.35,su kit responde bien al patrón rival,heuristic_extended
Sion,countered_by,1,KSante,44.71,-5.6,tiene mejor rango y control de oleada,heuristic_extended
Sion,countered_by,2,Singed,47.99,-3.27,supera la fase de línea,heuristic_extended
Sion,countered_by,3,Jayce,47.51,-7.06,supera la fase de línea,heuristic_extended
Sion,favored_against,1,ChoGath,55.47,7.59,tiene mejor escalado en la composición,heuristic_extended
Sion,favored_against,2,Gnar,54.54,6.13,gana prioridad para objetivos,heuristic_extended
Sion,favored_against,3,Illaoi,52.7,2.36,controla mejor los intercambios,heuristic_extended
Sivir,countered_by,1,Senna,45.54,-5.02,tiene mejor rango y control de oleada,heuristic_extended
Sivir,countered_by,2,MissFortune,44.75,-7.62,escala mejor y fuerza peleas favorables,heuristic_extended
Sivir,countered_by,3,Varus,47.82,-7.74,supera la fase de línea,heuristic_extended
Sivir,favored_against,1,Ashe,56.53,6.04,gana prioridad para objetivos,heuristic_extended
Sivir,favored_against,2,Draven,51.88,3.62,su kit responde bien al patrón rival,heuristic_extended
Sivir,favored_against,3,Olaf,53.08,5.31,controla mejor los intercambios,heuristic_extended
Skarner,countered_by,1,JarvanIV,45.61,-5.8,supera la fase de línea,heuristic_extended
Skarner,countered_by,2,Gragas,47.02,-3.78,supera la fase de línea,heuristic_extended
Skarner,countered_by,3,Viego,45.1,-2.88,supera la fase de línea,heuristic_extended
Skarner,favored_against,1,Nidalee,53.61,4.38,puede abusar la fase temprana,heuristic_extended
Skarner,favored_against,2,Taliyah,53.41,2.27,controla mejor los intercambios,heuristic_extended
Skarner,favored_against,3,BelVeth,51.41,5.04,tiene mejor escalado en la composición,heuristic_extended
Smolder,countered_by,1,Draven,47.42,-3.0,niega el plan principal del campeón,curated_core
Smolder,countered_by,2,Caitlyn,48.12,-6.93,supera la fase de línea,curated_core
Smolder,countered_by,3,Lucian,44.22,-6.95,niega el plan principal del campeón,curated_core
Smolder,favored_against,1,Sivir,53.29,5.12,controla mejor los intercambios,curated_core
Smolder,favored_against,2,Jinx,53.32,4.35,tiene mejor escalado en la composición,curated_core
Smolder,favored_against,3,KogMaw,56.81,3.44,tiene mejor escalado en la composición,curated_core
Sona,countered_by,1,Morgana,44.15,-5.68,castiga engages o dashes,heuristic_extended
Sona,countered_by,2,Lulu,43.54,-2.96,niega el plan principal del campeón,heuristic_extended
Sona,countered_by,3,Braum,44.41,-5.34,tiene mejor rango y control de oleada,heuristic_extended
Sona,favored_against,1,Lux,57.62,7.01,su kit responde bien al patrón rival,heuristic_extended
Sona,favored_against,2,Maokai,52.71,7.38,tiene mejor escalado en la composición,heuristic_extended
Sona,favored_against,3,Veigar,53.97,2.31,controla mejor los intercambios,heuristic_extended
Soraka,countered_by,1,Sona,45.69,-6.93,supera la fase de línea,heuristic_extended
Soraka,countered_by,2,Rakan,47.06,-2.95,tiene mejor rango y control de oleada,heuristic_extended
Soraka,countered_by,3,RenataGlasc,43.57,-2.41,niega el plan principal del campeón,heuristic_extended
Soraka,favored_against,1,Rell,51.46,4.87,puede abusar la fase temprana,heuristic_extended
Soraka,favored_against,2,Milio,53.9,3.54,gana prioridad para objetivos,heuristic_extended
Soraka,favored_against,3,Pyke,57.44,3.89,gana prioridad para objetivos,heuristic_extended
Swain,countered_by,1,Hwei,48.58,-4.67,niega el plan principal del campeón,heuristic_extended
Swain,countered_by,2,Mel,48.14,-6.5,tiene mejor rango y control de oleada,heuristic_extended
Swain,countered_by,3,Ziggs,44.71,-3.58,niega el plan principal del campeón,heuristic_extended
Swain,favored_against,1,TwistedFate,54.29,5.3,su kit responde bien al patrón rival,heuristic_extended
Swain,favored_against,2,Malzahar,51.34,5.44,controla mejor los intercambios,heuristic_extended
Swain,favored_against,3,Kassadin,51.55,6.51,tiene mejor escalado en la composición,heuristic_extended
Sylas,countered_by,1,Veigar,46.47,-4.47,tiene mejor rango y control de oleada,heuristic_extended
Sylas,countered_by,2,Akali,44.19,-5.53,escala mejor y fuerza peleas favorables,heuristic_extended
Sylas,countered_by,3,Xerath,46.05,-3.97,niega el plan principal del campeón,heuristic_extended
Sylas,favored_against,1,TwistedFate,54.69,7.25,tiene mejor escalado en la composición,heuristic_extended
Sylas,favored_against,2,Syndra,57.16,3.84,tiene mejor escalado en la composición,heuristic_extended
Sylas,favored_against,3,Ahri,56.76,5.26,gana prioridad para objetivos,heuristic_extended
Syndra,countered_by,1,Ekko,47.55,-3.97,niega el plan principal del campeón,heuristic_extended
Syndra,countered_by,2,Vex,47.82,-2.53,niega el plan principal del campeón,heuristic_extended
Syndra,countered_by,3,Mel,46.94,-7.12,supera la fase de línea,heuristic_extended
Syndra,favored_against,1,Zed,55.28,7.17,gana prioridad para objetivos,heuristic_extended
Syndra,favored_against,2,Ryze,53.11,4.94,su kit responde bien al patrón rival,heuristic_extended
Syndra,favored_against,3,Vladimir,53.62,3.76,gana prioridad para objetivos,heuristic_extended
TahmKench,countered_by,1,Kayle,43.21,-4.91,escala mejor y fuerza peleas favorables,heuristic_extended
TahmKench,countered_by,2,Mordekaiser,46.86,-6.36,supera la fase de línea,heuristic_extended
TahmKench,countered_by,3,Tryndamere,46.38,-2.51,supera la fase de línea,heuristic_extended
TahmKench,favored_against,1,Gnar,55.9,7.25,gana prioridad para objetivos,heuristic_extended
TahmKench,favored_against,2,Ornn,54.68,6.34,puede abusar la fase temprana,heuristic_extended
TahmKench,favored_against,3,Udyr,57.5,5.64,su kit responde bien al patrón rival,heuristic_extended
Taliyah,countered_by,1,Fizz,45.77,-7.39,tiene mejor rango y control de oleada,curated_core
Taliyah,countered_by,2,Katarina,46.91,-2.43,castiga engages o dashes,curated_core
Taliyah,countered_by,3,Zed,44.62,-6.14,escala mejor y fuerza peleas favorables,curated_core
Taliyah,favored_against,1,Sylas,52.39,6.31,gana prioridad para objetivos,curated_core
Taliyah,favored_against,2,Akali,57.65,4.85,su kit responde bien al patrón rival,curated_core
Taliyah,favored_against,3,Yasuo,53.85,5.37,su kit responde bien al patrón rival,curated_core
Talon,countered_by,1,Zac,44.13,-5.64,tiene mejor rango y control de oleada,heuristic_extended
Talon,countered_by,2,Udyr,44.23,-5.13,escala mejor y fuerza peleas favorables,heuristic_extended
Talon,countered_by,3,Taliyah,45.25,-7.76,tiene mejor rango y control de oleada,heuristic_extended
Talon,favored_against,1,Rengar,54.03,7.47,su kit responde bien al patrón rival,heuristic_extended
Talon,favored_against,2,MasterYi,52.39,4.31,su kit responde bien al patrón rival,heuristic_extended
Talon,favored_against,3,Viktor,55.77,3.96,gana prioridad para objetivos,heuristic_extended
Taric,countered_by,1,Bard,48.68,-7.51,niega el plan principal del campeón,heuristic_extended
Taric,countered_by,2,Maokai,46.05,-4.18,escala mejor y fuerza peleas favorables,heuristic_extended
Taric,countered_by,3,Rell,44.96,-5.85,tiene mejor rango y control de oleada,heuristic_extended
Taric,favored_against,1,Nami,56.6,5.03,puede abusar la fase temprana,heuristic_extended
Taric,favored_against,2,Brand,52.24,2.62,su kit responde bien al patrón rival,heuristic_extended
Taric,favored_against,3,Janna,54.5,5.89,puede abusar la fase temprana,heuristic_extended
Teemo,countered_by,1,Nasus,45.99,-6.15,niega el plan principal del campeón,heuristic_extended
Teemo,countered_by,2,Vayne,47.95,-2.88,niega el plan principal del campeón,heuristic_extended
Teemo,countered_by,3,Malphite,43.32,-4.01,niega el plan principal del campeón,heuristic_extended
Teemo,favored_against,1,Urgot,51.86,6.91,tiene mejor escalado en la composición,heuristic_extended
Teemo,favored_against,2,Shen,56.28,3.1,gana prioridad para objetivos,heuristic_extended
Teemo,favored_against,3,Renekton,56.79,3.01,puede abusar la fase temprana,heuristic_extended
Thresh,countered_by,1,Lulu,43.49,-2.54,castiga engages o dashes,heuristic_extended
Thresh,countered_by,2,Soraka,44.94,-6.88,niega el plan principal del campeón,heuristic_extended
Thresh,countered_by,3,Alistar,48.29,-5.57,castiga engages o dashes,heuristic_extended
Thresh,favored_against,1,Janna,52.6,7.16,tiene mejor escalado en la composición,heuristic_extended
Thresh,favored_against,2,Lux,54.89,6.93,puede abusar la fase temprana,heuristic_extended
Thresh,favored_against,3,Evelynn,52.22,3.02,tiene mejor escalado en la composición,heuristic_extended
Tristana,countered_by,1,Irelia,44.17,-7.41,niega el plan principal del campeón,heuristic_extended
Tristana,countered_by,2,Qiyana,44.85,-3.13,niega el plan principal del campeón,heuristic_extended
Tristana,countered_by,3,Xerath,47.99,-2.71,tiene mejor rango y control de oleada,heuristic_extended
Tristana,favored_against,1,Orianna,51.34,6.5,controla mejor los intercambios,heuristic_extended
Tristana,favored_against,2,Kassadin,52.1,7.18,puede abusar la fase temprana,heuristic_extended
Tristana,favored_against,3,KSante,56.39,6.3,tiene mejor escalado en la composición,heuristic_extended
Trundle,countered_by,1,Renekton,45.94,-5.98,supera la fase de línea,heuristic_extended
Trundle,countered_by,2,KSante,44.75,-2.59,escala mejor y fuerza peleas favorables,heuristic_extended
Trundle,countered_by,3,Aatrox,45.82,-5.64,niega el plan principal del campeón,heuristic_extended
Trundle,favored_against,1,DrMundo,51.37,4.07,su kit responde bien al patrón rival,heuristic_extended
Trundle,favored_against,2,Vladimir,55.16,2.57,gana prioridad para objetivos,heuristic_extended
Trundle,favored_against,3,Quinn,57.58,3.05,su kit responde bien al patrón rival,heuristic_extended
Tryndamere,countered_by,1,Yone,47.48,-6.24,escala mejor y fuerza peleas favorables,heuristic_extended
Tryndamere,countered_by,2,Volibear,44.85,-4.52,escala mejor y fuerza peleas favorables,heuristic_extended
Tryndamere,countered_by,3,Renekton,43.88,-7.42,supera la fase de línea,heuristic_extended
Tryndamere,favored_against,1,Mordekaiser,55.31,2.43,gana prioridad para objetivos,heuristic_extended
Tryndamere,favored_against,2,Quinn,54.42,2.9,gana prioridad para objetivos,heuristic_extended
Tryndamere,favored_against,3,Kled,56.81,5.04,su kit responde bien al patrón rival,heuristic_extended
TwistedFate,countered_by,1,Veigar,48.12,-3.42,tiene mejor rango y control de oleada,heuristic_extended
TwistedFate,countered_by,2,Lux,43.55,-3.46,tiene mejor rango y control de oleada,heuristic_extended
TwistedFate,countered_by,3,Tristana,47.43,-3.98,tiene mejor rango y control de oleada,heuristic_extended
TwistedFate,favored_against,1,Akali,52.51,5.79,tiene mejor escalado en la composición,heuristic_extended
TwistedFate,favored_against,2,Naafiri,55.86,2.51,puede abusar la fase temprana,heuristic_extended
TwistedFate,favored_against,3,Taliyah,56.45,4.25,puede abusar la fase temprana,heuristic_extended
Twitch,countered_by,1,Senna,45.01,-7.58,tiene mejor rango y control de oleada,heuristic_extended
Twitch,countered_by,2,Jhin,47.47,-3.68,castiga engages o dashes,heuristic_extended
Twitch,countered_by,3,Nilah,43.96,-5.31,niega el plan principal del campeón,heuristic_extended
Twitch,favored_against,1,Smolder,53.15,5.95,tiene mejor escalado en la composición,heuristic_extended
Twitch,favored_against,2,Varus,52.45,7.12,gana prioridad para objetivos,heuristic_extended
Twitch,favored_against,3,KaiSa,52.37,2.43,tiene mejor escalado en la composición,heuristic_extended
Udyr,countered_by,1,Lillia,44.84,-5.0,escala mejor y fuerza peleas favorables,heuristic_extended
Udyr,countered_by,2,Fiddlesticks,46.22,-4.62,tiene mejor rango y control de oleada,heuristic_extended
Udyr,countered_by,3,Viego,46.46,-7.26,supera la fase de línea,heuristic_extended
Udyr,favored_against,1,Briar,57.36,3.41,su kit responde bien al patrón rival,heuristic_extended
Udyr,favored_against,2,LeeSin,52.93,4.05,su kit responde bien al patrón rival,heuristic_extended
Udyr,favored_against,3,Akshan,57.15,5.36,gana prioridad para objetivos,heuristic_extended
Urgot,countered_by,1,Rumble,45.47,-2.58,niega el plan principal del campeón,heuristic_extended
Urgot,countered_by,2,Sett,47.63,-3.06,tiene mejor rango y control de oleada,heuristic_extended
Urgot,countered_by,3,Jax,48.09,-5.71,tiene mejor rango y control de oleada,heuristic_extended
Urgot,favored_against,1,Shen,56.33,6.37,su kit responde bien al patrón rival,heuristic_extended
Urgot,favored_against,2,Gwen,56.47,3.03,puede abusar la fase temprana,heuristic_extended
Urgot,favored_against,3,Singed,57.0,2.76,gana prioridad para objetivos,heuristic_extended
Varus,countered_by,1,Nilah,47.05,-6.75,niega el plan principal del campeón,heuristic_extended
Varus,countered_by,2,Aphelios,48.17,-2.45,tiene mejor rango y control de oleada,heuristic_extended
Varus,countered_by,3,Twitch,45.34,-6.39,escala mejor y fuerza peleas favorables,heuristic_extended
Varus,favored_against,1,Ziggs,55.5,2.6,puede abusar la fase temprana,heuristic_extended
Varus,favored_against,2,Ezreal,56.71,5.85,gana prioridad para objetivos,heuristic_extended
Varus,favored_against,3,Zed,52.34,7.53,puede abusar la fase temprana,heuristic_extended
Vayne,countered_by,1,Malphite,46.19,-6.91,escala mejor y fuerza peleas favorables,heuristic_extended
Vayne,countered_by,2,Sett,43.9,-3.92,castiga engages o dashes,heuristic_extended
Vayne,countered_by,3,Yasuo,48.04,-3.38,supera la fase de línea,heuristic_extended
Vayne,favored_against,1,Riven,52.69,4.65,su kit responde bien al patrón rival,heuristic_extended
Vayne,favored_against,2,DrMundo,52.29,3.64,controla mejor los intercambios,heuristic_extended
Vayne,favored_against,3,ChoGath,51.98,3.85,controla mejor los intercambios,heuristic_extended
Veigar,countered_by,1,Mel,46.57,-7.02,niega el plan principal del campeón,heuristic_extended
Veigar,countered_by,2,Brand,47.04,-7.14,niega el plan principal del campeón,heuristic_extended
Veigar,countered_by,3,Orianna,48.01,-5.54,castiga engages o dashes,heuristic_extended
Veigar,favored_against,1,Viktor,51.32,6.05,gana prioridad para objetivos,heuristic_extended
Veigar,favored_against,2,Akali,53.63,7.55,puede abusar la fase temprana,heuristic_extended
Veigar,favored_against,3,Illaoi,52.6,4.12,controla mejor los intercambios,heuristic_extended
VelKoz,countered_by,1,Yasuo,45.88,-5.5,tiene mejor rango y control de oleada,heuristic_extended
VelKoz,countered_by,2,Qiyana,43.94,-3.79,castiga engages o dashes,heuristic_extended
VelKoz,countered_by,3,LeBlanc,47.41,-7.16,niega el plan principal del campeón,heuristic_extended
VelKoz,favored_against,1,Katarina,53.29,4.26,gana prioridad para objetivos,heuristic_extended
VelKoz,favored_against,2,Brand,53.53,4.47,puede abusar la fase temprana,heuristic_extended
VelKoz,favored_against,3,Syndra,57.7,6.75,gana prioridad para objetivos,heuristic_extended
Vex,countered_by,1,VelKoz,47.8,-7.31,tiene mejor rango y control de oleada,heuristic_extended
Vex,countered_by,2,Hwei,44.28,-6.1,niega el plan principal del campeón,heuristic_extended
Vex,countered_by,3,Cassiopeia,46.36,-6.87,castiga engages o dashes,heuristic_extended
Vex,favored_against,1,Yasuo,57.05,5.26,gana prioridad para objetivos,heuristic_extended
Vex,favored_against,2,Sylas,52.71,3.38,gana prioridad para objetivos,heuristic_extended
Vex,favored_against,3,Kassadin,57.46,7.46,puede abusar la fase temprana,heuristic_extended
Vi,countered_by,1,Poppy,45.1,-3.36,castiga engages o dashes,heuristic_extended
Vi,countered_by,2,Nidalee,45.46,-2.42,escala mejor y fuerza peleas favorables,heuristic_extended
Vi,countered_by,3,Nunu,48.12,-4.48,escala mejor y fuerza peleas favorables,heuristic_extended
Vi,favored_against,1,KhaZix,54.21,3.04,controla mejor los intercambios,heuristic_extended
Vi,favored_against,2,Hecarim,53.73,3.25,gana prioridad para objetivos,heuristic_extended
Vi,favored_against,3,Diana,55.71,4.74,tiene mejor escalado en la composición,heuristic_extended
Viego,countered_by,1,Warwick,45.23,-2.59,tiene mejor rango y control de oleada,heuristic_extended
Viego,countered_by,2,Fiddlesticks,43.96,-4.77,supera la fase de línea,heuristic_extended
Viego,countered_by,3,Nunu,43.69,-3.2,escala mejor y fuerza peleas favorables,heuristic_extended
Viego,favored_against,1,RekSai,55.87,4.95,gana prioridad para objetivos,heuristic_extended
Viego,favored_against,2,Kindred,55.79,5.46,gana prioridad para objetivos,heuristic_extended
Viego,favored_against,3,Akali,56.14,6.42,puede abusar la fase temprana,heuristic_extended
