scouting_id,ally_top,ally_jungle,ally_mid,ally_adc,ally_support,enemy_top,enemy_jungle,enemy_mid,enemy_adc,enemy_support,texto_entrada_nlp,strategy_label,main_phase,objective_focus,risk_level,execution_difficulty,dataset_version
2508,Neeko,Fiora,Amumu,Lucian,Sejuani,Vex,Gragas,Lulu,Ekko,Darius,"La composición necesita esperar cooldowns importantes y buscar una pelea agrupada donde varias habilidades impacten al mismo tiempo. En la práctica, Neeko y Lucian necesitan que Fiora controle los primeros movimientos contra Vex y Darius. La prioridad debería girar alrededor de peleas agrupadas por dragón o barón.",wombo combo,mid,peleas agrupadas por dragón o barón,medio,Depende de cooldowns definitivos.,V3_implicit_contextual
2509,LeeSin,Senna,Naafiri,Shyvana,Thresh,MasterYi,Nunu,Warwick,KaiSa,Nocturne,"Por la forma del draft, con LeeSin, Senna y Naafiri frente a MasterYi, Nunu y Warwick, La presión debe dividir al rival, forzarlo a elegir entre defender torres laterales o contestar objetivos mayores. El foco debe estar en torres laterales y presión cruzada, cuidando temporizadores de objetivos.",splitpush táctico,mid-late,torres laterales y presión cruzada,bajo,Requiere visión lateral y TP disponible.,V3_implicit_contextual
2510,Vi,TwistedFate,Braum,Jhin,Kassadin,Nautilus,Malphite,Urgot,Janna,Aurora,"En este escenario, con Vi, TwistedFate y Braum frente a Nautilus, Malphite y Urgot, La frontline debe absorber la primera entrada mientras los carries mantienen daño constante desde una posición segura. El foco debe estar en dragón o Nashor con formación estable, cuidando presión de mapa.",front-to-back,mid-late,dragón o Nashor con formación estable,medio,Cuidar flancos y amenazas de dive.,V3_implicit_contextual
2511,Corki,Kayle,Poppy,Hecarim,Sett,Gragas,Hwei,Ahri,Nami,Smolder,"La condición de victoria aparece antes del minuto quince, especialmente si la jungla conecta con líneas fuertes. En la práctica, Corki y Hecarim necesitan que Kayle controle los primeros movimientos contra Gragas y Smolder. La prioridad debería girar alrededor de primer heraldo, placas y presión de río.",agresivo early,early,"primer heraldo, placas y presión de río",medio,No extender partida sin ventaja.,V3_implicit_contextual
2512,Zyra,Irelia,Syndra,Renekton,Sylas,Skarner,Riven,Lulu,Warwick,Karthus,"El draft aliado mezcla utility, splitpush y roaming tempo, mientras el rival amenaza con tempo y bruiser dive. La condición de victoria aparece antes del minuto quince, especialmente si la jungla conecta con líneas fuertes. La ejecución depende de río sin visión.",agresivo early,early,"primer heraldo, placas y presión de río",alto,No extender partida sin ventaja.,V3_implicit_contextual
2513,Yuumi,LeBlanc,Aatrox,Leona,Kalista,Garen,ChoGath,Lux,Yasuo,Gnar,"No conviene gastar definitivas por separado; el valor real está en sincronizar iniciación y daño sobre varios objetivos. En la práctica, Yuumi y Leona necesitan que LeBlanc controle los primeros movimientos contra Garen y Gnar. La prioridad debería girar alrededor de peleas agrupadas por dragón o barón.",wombo combo,mid,peleas agrupadas por dragón o barón,bajo,Depende de cooldowns definitivos.,V3_implicit_contextual
2514,TwistedFate,Ivern,Vex,Nasus,Warwick,Elise,Kayle,Hecarim,Sett,ChoGath,"Con una ejecución ordenada, con TwistedFate, Ivern y Vex frente a Elise, Kayle y Hecarim, El equipo debe llegar antes a dragón o heraldo, colocar visión profunda y usar prioridad de líneas para controlar entradas. El foco debe estar en dragones, heraldo y visión previa, cuidando amenaza sobre carries.",jugar a objetivos,mid,"dragones, heraldo y visión previa",bajo,Necesita prioridad previa de líneas.,V3_implicit_contextual
2515,Fiora,Gangplank,Samira,Ashe,Shyvana,MasterYi,Shen,Akshan,Azir,Zoe,"La composición aliada se beneficia cuando, con Fiora, Gangplank y Samira frente a MasterYi, Shen y Akshan, El equipo debe acelerar rotaciones, castigar tiempos muertos del rival y usar cada ventana corta para sacar ventaja. El foco debe estar en heraldo, dives y rotaciones tempranas, cuidando amenaza sobre carries.",tempo composition,early-mid,"heraldo, dives y rotaciones tempranas",alto,Pierde fuerza si no convierte presión.,V3_implicit_contextual
2516,Xerath,KSante,Milio,Tristana,Elise,Braum,Shaco,Malzahar,JarvanIV,Azir,"El punto clave será que, con Xerath, KSante y Milio frente a Braum, Shaco y Malzahar, La pelea se gana si los campeones móviles sincronizan control y daño sobre objetivos frágiles. El foco debe estar en torres exteriores y castigo sobre carries, cuidando zona de dragón.",dive composition,early-mid,torres exteriores y castigo sobre carries,medio,Riesgo alto si el rival tiene disengage.,V3_implicit_contextual
2517,Janna,LeeSin,Gangplank,Hecarim,KSante,Yorick,Milio,Renekton,Sion,Rammus,"Con una ejecución ordenada, con Janna, LeeSin y Gangplank frente a Yorick, Milio y Renekton, El plan requiere coordinar entradas rápidas, cerrar distancia y castigar carries inmóviles cuando gasten destellos. El foco debe estar en torres exteriores y castigo sobre carries, cuidando amenaza sobre carries.",dive composition,early-mid,torres exteriores y castigo sobre carries,medio,Riesgo alto si el rival tiene disengage.,V3_implicit_contextual
2518,Kindred,Lux,ChoGath,Ornn,Swain,Volibear,Karma,Pyke,Rumble,Kayle,"El draft aliado mezcla objective control, control mage y bruiser dive, mientras el rival amenaza con engage y lane pressure. El equipo puede ganar si una línea lateral exige respuesta constante mientras los demás evitan peleas directas. La ejecución depende de prioridad de oleadas.",splitpush táctico,mid-late,torres laterales y presión cruzada,bajo,Requiere visión lateral y TP disponible.,V3_implicit_contextual
2519,Ornn,Qiyana,Corki,Mel,Naafiri,MasterYi,Maokai,Amumu,Janna,Neeko,"Por la forma del draft, con Ornn, Qiyana y Corki frente a MasterYi, Maokai y Amumu, La presión debe dividir al rival, forzarlo a elegir entre defender torres laterales o contestar objetivos mayores. El foco debe estar en torres laterales y presión cruzada, cuidando frontline disponible.",splitpush táctico,mid-late,torres laterales y presión cruzada,alto,Requiere visión lateral y TP disponible.,V3_implicit_contextual
2520,Wukong,Yone,Karthus,Orianna,Mel,Trundle,Hwei,Hecarim,Jax,Briar,"En este escenario, con Wukong, Yone y Karthus frente a Trundle, Hwei y Hecarim, El equipo puede decidir la partida si encuentra una entrada múltiple en espacios cerrados como río o jungla. El foco debe estar en peleas agrupadas por dragón o barón, cuidando presión de mapa.",wombo combo,mid,peleas agrupadas por dragón o barón,medio,Depende de cooldowns definitivos.,V3_implicit_contextual
2521,Nami,Mordekaiser,Fiora,Evelynn,Sivir,Jayce,Shen,Illaoi,Riven,Vi,"Por la forma del draft, con Nami, Mordekaiser y Fiora frente a Jayce, Shen y Illaoi, La presión debe dividir al rival, forzarlo a elegir entre defender torres laterales o contestar objetivos mayores. El foco debe estar en torres laterales y presión cruzada, cuidando presión de mapa.",splitpush táctico,mid-late,torres laterales y presión cruzada,bajo,Requiere visión lateral y TP disponible.,V3_implicit_contextual
2522,Ahri,Nautilus,Thresh,AurelionSol,Ambessa,MasterYi,Kennen,VelKoz,Annie,Nasus,"En este escenario, con Ahri, Nautilus y Thresh frente a MasterYi, Kennen y VelKoz, La composición tiene herramientas para pelear temprano, buscar escaramuzas en río y convertir prioridad de líneas en oro. El foco debe estar en primer heraldo, placas y presión de río, cuidando prioridad de oleadas.",agresivo early,early,"primer heraldo, placas y presión de río",medio,No extender partida sin ventaja.,V3_implicit_contextual
2523,Tristana,Wukong,Rell,Nidalee,Darius,Diana,Sylas,Maokai,Illaoi,Blitzcrank,"El equipo puede ganar si una línea lateral exige respuesta constante mientras los demás evitan peleas directas. En la práctica, Tristana y Nidalee necesitan que Wukong controle los primeros movimientos contra Diana y Blitzcrank. La prioridad debería girar alrededor de torres laterales y presión cruzada.",splitpush táctico,mid-late,torres laterales y presión cruzada,medio,Requiere visión lateral y TP disponible.,V3_implicit_contextual
2524,Rell,Nidalee,Nunu,Vladimir,Olaf,Sivir,LeBlanc,Milio,Trundle,Darius,"El draft aliado mezcla utility, tempo y tempo, mientras el rival amenaza con hypercarry y control mage. No conviene gastar definitivas por separado; el valor real está en sincronizar iniciación y daño sobre varios objetivos. La ejecución depende de setup de Nashor.",wombo combo,mid,peleas agrupadas por dragón o barón,alto,Depende de cooldowns definitivos.,V3_implicit_contextual
2525,XinZhao,Annie,Gragas,TwistedFate,Rumble,Caitlyn,Draven,Viego,Lillia,Heimerdinger,"Si la partida se extiende, el daño sostenido y las herramientas de zona pueden superar la presión inicial del rival. En la práctica, XinZhao y TwistedFate necesitan que Annie controle los primeros movimientos contra Caitlyn y Heimerdinger. La prioridad debería girar alrededor de barón, alma o pelea tardía.",escalar late,late,"barón, alma o pelea tardía",bajo,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
2526,Akali,Tryndamere,Nidalee,Rell,Diana,Vayne,Kalista,Veigar,Orianna,Cassiopeia,"La composición tiene herramientas para pelear temprano, buscar escaramuzas en río y convertir prioridad de líneas en oro. En la práctica, Akali y Rell necesitan que Tryndamere controle los primeros movimientos contra Vayne y Cassiopeia. La prioridad debería girar alrededor de primer heraldo, placas y presión de río.",agresivo early,early,"primer heraldo, placas y presión de río",medio,No extender partida sin ventaja.,V3_implicit_contextual
2527,Riven,Malphite,Hwei,Senna,Heimerdinger,Mordekaiser,Yone,KaiSa,Diana,Skarner,"La composición necesita paciencia, evitar peleas innecesarias y llegar con suficientes objetos a los minutos decisivos. En la práctica, Riven y Senna necesitan que Malphite controle los primeros movimientos contra Mordekaiser y Skarner. La prioridad debería girar alrededor de barón, alma o pelea tardía.",escalar late,late,"barón, alma o pelea tardía",alto,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
2528,Aurora,Briar,ChoGath,Sivir,Blitzcrank,Tryndamere,Hwei,Brand,Viktor,Ahri,"La lectura inicial indica que, con Aurora, Briar y ChoGath frente a Tryndamere, Hwei y Brand, El equipo debe acelerar rotaciones, castigar tiempos muertos del rival y usar cada ventana corta para sacar ventaja. El foco debe estar en heraldo, dives y rotaciones tempranas, cuidando posición del tirador.",tempo composition,early-mid,"heraldo, dives y rotaciones tempranas",alto,Pierde fuerza si no convierte presión.,V3_implicit_contextual
2529,Irelia,Singed,Zoe,Veigar,Zilean,Fiddlesticks,Samira,KogMaw,Twitch,Teemo,"Por la forma del draft, con Irelia, Singed y Zoe frente a Fiddlesticks, Samira y KogMaw, La presión debe dividir al rival, forzarlo a elegir entre defender torres laterales o contestar objetivos mayores. El foco debe estar en torres laterales y presión cruzada, cuidando amenaza sobre carries.",splitpush táctico,mid-late,torres laterales y presión cruzada,bajo,Requiere visión lateral y TP disponible.,V3_implicit_contextual
2530,Warwick,Brand,Leona,Ashe,Shyvana,LeeSin,Ziggs,Braum,Darius,Ezreal,"La composición aliada se beneficia cuando, con Warwick, Brand y Leona frente a LeeSin, Ziggs y Braum, No se trata de esperar escalado, sino de encadenar jugadas rápidas antes de que el rival estabilice. El foco debe estar en heraldo, dives y rotaciones tempranas, cuidando zona de dragón.",tempo composition,early-mid,"heraldo, dives y rotaciones tempranas",medio,Pierde fuerza si no convierte presión.,V3_implicit_contextual
2531,Milio,Janna,Pantheon,Kalista,Shaco,Ivern,Annie,Brand,Senna,Syndra,"La composición rinde mejor en peleas ordenadas, con tanques al frente y daño sostenido desde la parte posterior. En la práctica, Milio y Kalista necesitan que Janna controle los primeros movimientos contra Ivern y Syndra. La prioridad debería girar alrededor de dragón o Nashor con formación estable.",front-to-back,mid-late,dragón o Nashor con formación estable,bajo,Cuidar flancos y amenazas de dive.,V3_implicit_contextual
2532,Soraka,Evelynn,Mordekaiser,Malphite,Gangplank,Draven,Diana,Jax,Shen,VelKoz,"La composición aliada se beneficia cuando, con Soraka, Evelynn y Mordekaiser frente a Draven, Diana y Jax, La pelea se gana si los campeones móviles sincronizan control y daño sobre objetivos frágiles. El foco debe estar en torres exteriores y castigo sobre carries, cuidando temporizadores de objetivos.",dive composition,early-mid,torres exteriores y castigo sobre carries,medio,Riesgo alto si el rival tiene disengage.,V3_implicit_contextual
2533,Viktor,Sion,Fiora,Nasus,Soraka,Sejuani,Tryndamere,LeeSin,Lillia,Brand,"La lectura inicial indica que, con Viktor, Sion y Fiora frente a Sejuani, Tryndamere y LeeSin, El equipo debe desgastar desde distancia antes de iniciar, obligando al rival a entrar con poca vida a las zonas neutrales. El foco debe estar en torres y zonas neutrales, cuidando temporizadores de objetivos.",poke composition,mid,torres y zonas neutrales,bajo,No forzar pelea cerrada sin ventaja de vida.,V3_implicit_contextual
2534,Vex,Yuumi,Heimerdinger,LeeSin,Poppy,DrMundo,Zyra,Udyr,Garen,BelVeth,"Por la forma del draft, con Vex, Yuumi y Heimerdinger frente a DrMundo, Zyra y Udyr, La composición rinde mejor en peleas ordenadas, con tanques al frente y daño sostenido desde la parte posterior. El foco debe estar en dragón o Nashor con formación estable, cuidando setup de Nashor.",front-to-back,mid-late,dragón o Nashor con formación estable,alto,Cuidar flancos y amenazas de dive.,V3_implicit_contextual
2535,Kalista,Udyr,Kayn,Lucian,MasterYi,Anivia,Maokai,Rengar,Karthus,Draven,"La presión viene del alcance y del control de zona, no de iniciar peleas frontales de inmediato. En la práctica, Kalista y Lucian necesitan que Udyr controle los primeros movimientos contra Anivia y Draven. La prioridad debería girar alrededor de torres y zonas neutrales.",poke composition,mid,torres y zonas neutrales,bajo,No forzar pelea cerrada sin ventaja de vida.,V3_implicit_contextual
2536,Nunu,Thresh,Heimerdinger,Aphelios,Singed,Cassiopeia,Samira,Nocturne,Swain,Fiddlesticks,"El draft aliado mezcla tempo, capturas previas y control mage, mientras el rival amenaza con poke y lane pressure. La composición tiene varias formas de entrar sobre la retaguardia rival y eliminar al tirador antes de que pueda pegar libremente. La ejecución depende de control de cooldowns.",dive composition,early-mid,torres exteriores y castigo sobre carries,alto,Riesgo alto si el rival tiene disengage.,V3_implicit_contextual
2537,Ivern,Diana,Nami,JarvanIV,Kayn,Aurora,Tristana,Leona,Xayah,Twitch,"La lectura inicial indica que, con Ivern, Diana y Nami frente a Aurora, Tristana y Leona, La condición de victoria aparece antes del minuto quince, especialmente si la jungla conecta con líneas fuertes. El foco debe estar en primer heraldo, placas y presión de río, cuidando setup de Nashor.",agresivo early,early,"primer heraldo, placas y presión de río",medio,No extender partida sin ventaja.,V3_implicit_contextual
2538,Annie,Riven,Zoe,Yuumi,Ivern,Xayah,Jax,Volibear,Taliyah,Sion,"Con una ejecución ordenada, con Annie, Riven y Zoe frente a Xayah, Jax y Volibear, La composición gana valor cuando puede ocultar visión, esperar errores de posicionamiento y atrapar objetivos aislados. El foco debe estar en visión oscura antes de Nashor, cuidando control de cooldowns.",pick composition,mid,visión oscura antes de Nashor,medio,Requiere visión profunda.,V3_implicit_contextual
2539,Hecarim,Nilah,Janna,Maokai,Viego,Senna,Azir,VelKoz,Briar,Zeri,"En este escenario, con Hecarim, Nilah y Janna frente a Senna, Azir y VelKoz, El draft necesita acelerar desde los primeros minutos, invadir con prioridad y castigar antes de que el rival complete objetos clave. El foco debe estar en primer heraldo, placas y presión de río, cuidando setup de Nashor.",agresivo early,early,"primer heraldo, placas y presión de río",alto,No extender partida sin ventaja.,V3_implicit_contextual
2540,Zoe,LeeSin,Rumble,Sona,Hwei,Lucian,Senna,Quinn,Gragas,Zyra,"El draft aliado mezcla roaming tempo, early gank y splitpush, mientras el rival amenaza con scaling y poke. La composición gana si controla espacio con rango, limpia oleadas rápido y evita peleas cerradas sin ventaja previa. La ejecución depende de río sin visión.",poke composition,mid,torres y zonas neutrales,medio,No forzar pelea cerrada sin ventaja de vida.,V3_implicit_contextual
2541,Tryndamere,Rumble,Pyke,Poppy,Viego,Blitzcrank,Diana,Malphite,Mordekaiser,Sivir,"La presión viene del alcance y del control de zona, no de iniciar peleas frontales de inmediato. En la práctica, Tryndamere y Poppy necesitan que Rumble controle los primeros movimientos contra Blitzcrank y Sivir. La prioridad debería girar alrededor de torres y zonas neutrales.",poke composition,mid,torres y zonas neutrales,medio,No forzar pelea cerrada sin ventaja de vida.,V3_implicit_contextual
2542,Jax,Ziggs,Lissandra,Illaoi,Soraka,Draven,Milio,Vladimir,Akali,Wukong,"Por la forma del draft, con Jax, Ziggs y Lissandra frente a Draven, Milio y Vladimir, La composición gana valor cuando puede ocultar visión, esperar errores de posicionamiento y atrapar objetivos aislados. El foco debe estar en visión oscura antes de Nashor, cuidando amenaza sobre carries.",pick composition,mid,visión oscura antes de Nashor,alto,Requiere visión profunda.,V3_implicit_contextual
2543,Vi,Anivia,Sett,Fizz,Nidalee,Rumble,Milio,KhaZix,Akshan,Kled,"El draft aliado mezcla dive, poke y bruiser dive, mientras el rival amenaza con splitpush y capturas previas. El equipo debe jugar alrededor del tirador principal, darle espacio y usar herramientas defensivas para mantenerlo vivo. La ejecución depende de temporizadores de objetivos.",protect hypercarry,late,peleas tardías con el carry protegido,bajo,Vulnerable a dive y pick comp.,V3_implicit_contextual
2544,KaiSa,KogMaw,VelKoz,Jayce,LeeSin,Rell,Akali,Aatrox,Shaco,Janna,"El draft aliado mezcla pelea ordenada, pelea ordenada y capturas previas, mientras el rival amenaza con utility y control mage. La ventaja aparece al administrar recursos del mapa, dividir presión y evitar peleas frontales innecesarias. La ejecución depende de control de visión.",macro composition,mid-late,oleadas laterales y estructuras,alto,Menos directa en peleas 5v5.,V3_implicit_contextual
2545,TahmKench,Mordekaiser,BelVeth,Ambessa,Kindred,Lillia,Kayn,RekSai,Ezreal,Kled,"La composición aliada se beneficia cuando, con TahmKench, Mordekaiser y BelVeth frente a Lillia, Kayn y RekSai, La condición de victoria depende de que el carry llegue con objetos y pueda pegar sin recibir acceso directo del rival. El foco debe estar en peleas tardías con el carry protegido, cuidando zona de dragón.",protect hypercarry,late,peleas tardías con el carry protegido,alto,Vulnerable a dive y pick comp.,V3_implicit_contextual
2546,Milio,Vex,LeBlanc,Shaco,Kayn,Sejuani,Sylas,Rammus,Briar,Evelynn,"El equipo debe jugar alrededor del tirador principal, darle espacio y usar herramientas defensivas para mantenerlo vivo. En la práctica, Milio y Shaco necesitan que Vex controle los primeros movimientos contra Sejuani y Evelynn. La prioridad debería girar alrededor de peleas tardías con el carry protegido.",protect hypercarry,late,peleas tardías con el carry protegido,medio,Vulnerable a dive y pick comp.,V3_implicit_contextual
2547,Soraka,Riven,Orianna,Nautilus,Varus,Annie,Zed,Alistar,Nidalee,Twitch,"La lectura inicial indica que, con Soraka, Riven y Orianna frente a Annie, Zed y Alistar, El valor del draft aumenta con niveles y oro, por lo que conviene ceder presión menor si eso asegura una transición limpia. El foco debe estar en barón, alma o pelea tardía, cuidando control de visión.",escalar late,late,"barón, alma o pelea tardía",medio,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
2548,Sejuani,Talon,LeBlanc,Maokai,Swain,Soraka,Malzahar,Galio,KhaZix,Ivern,"El punto clave será que, con Sejuani, Talon y LeBlanc frente a Soraka, Malzahar y Galio, La composición tiene herramientas para pelear temprano, buscar escaramuzas en río y convertir prioridad de líneas en oro. El foco debe estar en primer heraldo, placas y presión de río, cuidando amenaza sobre carries.",agresivo early,early,"primer heraldo, placas y presión de río",bajo,No extender partida sin ventaja.,V3_implicit_contextual
2549,KaiSa,Syndra,Poppy,Pantheon,Brand,Sylas,Ahri,Smolder,Elise,JarvanIV,"El equipo debe jugar alrededor del tirador principal, darle espacio y usar herramientas defensivas para mantenerlo vivo. En la práctica, KaiSa y Pantheon necesitan que Syndra controle los primeros movimientos contra Sylas y JarvanIV. La prioridad debería girar alrededor de peleas tardías con el carry protegido.",protect hypercarry,late,peleas tardías con el carry protegido,alto,Vulnerable a dive y pick comp.,V3_implicit_contextual
2550,Draven,Nidalee,KaiSa,Riven,Malphite,Lissandra,Sett,Naafiri,Kennen,RenataGlasc,"La composición rinde mejor en peleas ordenadas, con tanques al frente y daño sostenido desde la parte posterior. En la práctica, Draven y Riven necesitan que Nidalee controle los primeros movimientos contra Lissandra y RenataGlasc. La prioridad debería girar alrededor de dragón o Nashor con formación estable.",front-to-back,mid-late,dragón o Nashor con formación estable,medio,Cuidar flancos y amenazas de dive.,V3_implicit_contextual
2551,JarvanIV,Ambessa,Nocturne,VelKoz,RenataGlasc,Mel,Naafiri,KhaZix,Xerath,LeBlanc,"En este escenario, con JarvanIV, Ambessa y Nocturne frente a Mel, Naafiri y KhaZix, El equipo debe jugar alrededor del tirador principal, darle espacio y usar herramientas defensivas para mantenerlo vivo. El foco debe estar en peleas tardías con el carry protegido, cuidando control de visión.",protect hypercarry,late,peleas tardías con el carry protegido,bajo,Vulnerable a dive y pick comp.,V3_implicit_contextual
2552,Seraphine,Hecarim,Brand,Sona,KaiSa,Maokai,Nasus,AurelionSol,Lulu,Karma,"El draft aliado mezcla peel, objective control y poke, mientras el rival amenaza con objective control y splitpush. No conviene gastar definitivas por separado; el valor real está en sincronizar iniciación y daño sobre varios objetivos. La ejecución depende de zona de dragón.",wombo combo,mid,peleas agrupadas por dragón o barón,bajo,Depende de cooldowns definitivos.,V3_implicit_contextual
2553,Malzahar,Jax,Varus,Camille,LeBlanc,Bard,Rell,Yorick,Singed,RenataGlasc,"En este escenario, con Malzahar, Jax y Varus frente a Bard, Rell y Yorick, El draft tiene sentido si todos compran tiempo, bloquean amenazas y permiten que el carry sostenga el daño. El foco debe estar en peleas tardías con el carry protegido, cuidando prioridad de oleadas.",protect hypercarry,late,peleas tardías con el carry protegido,bajo,Vulnerable a dive y pick comp.,V3_implicit_contextual
2554,Camille,Ryze,Annie,Akali,KogMaw,Taric,Kindred,Neeko,Rell,Pyke,"La composición aliada se beneficia cuando, con Camille, Ryze y Annie frente a Taric, Kindred y Neeko, La composición necesita paciencia, evitar peleas innecesarias y llegar con suficientes objetos a los minutos decisivos. El foco debe estar en barón, alma o pelea tardía, cuidando rotaciones limpias.",escalar late,late,"barón, alma o pelea tardía",bajo,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
2555,Darius,Volibear,Nunu,Zyra,Brand,RekSai,Viego,Lucian,Cassiopeia,Warwick,"El draft aliado mezcla splitpush, engage y tempo, mientras el rival amenaza con engage y early gank. Si la partida se extiende, el daño sostenido y las herramientas de zona pueden superar la presión inicial del rival. La ejecución depende de frontline disponible.",escalar late,late,"barón, alma o pelea tardía",alto,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
2556,Shaco,Sivir,LeBlanc,Janna,Vi,Vayne,Xerath,Volibear,Hecarim,Galio,"Con una ejecución ordenada, con Shaco, Sivir y LeBlanc frente a Vayne, Xerath y Volibear, La presión debe dividir al rival, forzarlo a elegir entre defender torres laterales o contestar objetivos mayores. El foco debe estar en torres laterales y presión cruzada, cuidando río sin visión.",splitpush táctico,mid-late,torres laterales y presión cruzada,medio,Requiere visión lateral y TP disponible.,V3_implicit_contextual
2557,Kassadin,DrMundo,Vladimir,Karma,Akali,Gwen,Milio,Zilean,Fizz,RekSai,"El punto clave será que, con Kassadin, DrMundo y Vladimir frente a Gwen, Milio y Zilean, El equipo debe llegar antes a dragón o heraldo, colocar visión profunda y usar prioridad de líneas para controlar entradas. El foco debe estar en dragones, heraldo y visión previa, cuidando río sin visión.",jugar a objetivos,mid,"dragones, heraldo y visión previa",bajo,Necesita prioridad previa de líneas.,V3_implicit_contextual
2558,TahmKench,Diana,Zyra,Brand,Evelynn,Olaf,Amumu,Vex,Briar,Illaoi,"La composición necesita paciencia, evitar peleas innecesarias y llegar con suficientes objetos a los minutos decisivos. En la práctica, TahmKench y Brand necesitan que Diana controle los primeros movimientos contra Olaf y Illaoi. La prioridad debería girar alrededor de barón, alma o pelea tardía.",escalar late,late,"barón, alma o pelea tardía",bajo,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
2559,Veigar,Zeri,Ahri,Vladimir,Lillia,Zed,Zac,Sivir,Nidalee,Fiora,"El plan requiere coordinar entradas rápidas, cerrar distancia y castigar carries inmóviles cuando gasten destellos. En la práctica, Veigar y Vladimir necesitan que Zeri controle los primeros movimientos contra Zed y Fiora. La prioridad debería girar alrededor de torres exteriores y castigo sobre carries.",dive composition,early-mid,torres exteriores y castigo sobre carries,bajo,Riesgo alto si el rival tiene disengage.,V3_implicit_contextual
2560,Mordekaiser,Tryndamere,JarvanIV,Sona,Swain,Karma,Skarner,Sett,Taric,Nilah,"El punto clave será que, con Mordekaiser, Tryndamere y JarvanIV frente a Karma, Skarner y Sett, El equipo debe desgastar desde distancia antes de iniciar, obligando al rival a entrar con poca vida a las zonas neutrales. El foco debe estar en torres y zonas neutrales, cuidando flancos laterales.",poke composition,mid,torres y zonas neutrales,bajo,No forzar pelea cerrada sin ventaja de vida.,V3_implicit_contextual
2561,Rammus,Akshan,Wukong,Soraka,Rakan,MissFortune,VelKoz,Lucian,Renekton,Veigar,"La presion debe dividir al rival, forzarlo a elegir entre defender torres laterales o contestar objetivos mayores. En la práctica, Rammus y Soraka necesitan que Akshan controle los primeros movimientos contra MissFortune y Veigar. La prioridad debería girar alrededor de torres laterales y presion cruzada.",splitpush táctico,mid-late,torres laterales y presión cruzada,bajo,Requiere visión lateral y TP disponible.,V3_implicit_contextual
2562,Vayne,KSante,Sylas,Olaf,Xerath,Teemo,Ornn,Pantheon,Ryze,Alistar,"Con una ejecución ordenada, con Vayne, KSante y Sylas frente a Teemo, Ornn y Pantheon, No conviene gastar definitivas por separado; el valor real está en sincronizar iniciación y daño sobre varios objetivos. El foco debe estar en peleas agrupadas por dragón o barón, cuidando setup de Nashor.",wombo combo,mid,peleas agrupadas por dragón o barón,medio,Depende de cooldowns definitivos.,V3_implicit_contextual
2563,Ivern,Syndra,LeeSin,Sivir,Akali,Jinx,Darius,Shaco,Urgot,Kennen,"La lectura inicial indica que, con Ivern, Syndra y LeeSin frente a Jinx, Darius y Shaco, La presión viene del alcance y del control de zona, no de iniciar peleas frontales de inmediato. El foco debe estar en torres y zonas neutrales, cuidando temporizadores de objetivos.",poke composition,mid,torres y zonas neutrales,alto,No forzar pelea cerrada sin ventaja de vida.,V3_implicit_contextual
2564,Anivia,Zeri,Nami,Milio,Renekton,Veigar,TwistedFate,Olaf,Rell,Irelia,"La lectura inicial indica que, con Anivia, Zeri y Nami frente a Veigar, TwistedFate y Olaf, La composición necesita esperar cooldowns importantes y buscar una pelea agrupada donde varias habilidades impacten al mismo tiempo. El foco debe estar en peleas agrupadas por dragón o barón, cuidando frontline disponible.",wombo combo,mid,peleas agrupadas por dragón o barón,alto,Depende de cooldowns definitivos.,V3_implicit_contextual
2565,Viktor,Heimerdinger,Lillia,Sivir,Briar,Galio,LeBlanc,LeeSin,Renekton,Kled,"El draft aliado mezcla control mage, control mage y early gank, mientras el rival amenaza con control mage y control mage. La ventaja aparece al administrar recursos del mapa, dividir presión y evitar peleas frontales innecesarias. La ejecución depende de frontline disponible.",macro composition,mid-late,oleadas laterales y estructuras,alto,Menos directa en peleas 5v5.,V3_implicit_contextual
2566,Gnar,Senna,TwistedFate,Corki,KhaZix,Varus,Veigar,Gwen,Amumu,XinZhao,"La composición aliada se beneficia cuando, con Gnar, Senna y TwistedFate frente a Varus, Veigar y Gwen, Si la partida se extiende, el daño sostenido y las herramientas de zona pueden superar la presión inicial del rival. El foco debe estar en barón, alma o pelea tardía, cuidando front line disponible.",escalar late,late,"barón, alma o pelea tardía",alto,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
2567,Graves,Yorick,Nocturne,Gwen,Naafiri,Sion,Jhin,Pyke,Rell,Tristana,"El draft aliado mezcla objective control, bruiser dive y dive, mientras el rival amenaza con engage y lane pressure. El plan depende más de lectura de mapa, oleadas y tempo de rotación que de forzar peleas directas. La ejecución depende de ventanas de tempo.",macro composition,mid-late,oleadas laterales y estructuras,alto,Menos directa en peleas 5v5.,V3_implicit_contextual
